customer_text,human_intent,predicted_intent
@AppleSupport why will my phone not connect to find my iPhone or NFL fantasy? But I can text? And twitter? Why does IPhone 7 suck when 8 is?,connectivity_issue,general_inquiry
@AppleSupport It’s telling people they don’t have an acct,apple_id_account,general_inquiry
@AppleSupport is there a reason why you guys won’t accept my credit card details?,billing_refund,ios_software_issue
@AppleSupport @118721 please help me out guys. Link in the invoice receipt is not working for me to report.,billing_refund,general_inquiry
@115858 @917 why is the iPhone X Snapchat quality worse than the iPhone 6? Please fix it.,app_service_issue,general_inquiry
@AppleSupport Your cyber hub rep (Gurgaon) has sent the phone to Bangalore to diagnose the issue.,device_hardware_issue,general_inquiry
"@AppleSupport if I do a season pass of a show &amp; decide I’m not liking it, can I cancel and get credit for the unreleased episodes?",app_store_purchase,app_service_issue
@AppleSupport Random. I’m running 10.13.1. The computer is about 8 months old. This just started with my last OS update.,general_inquiry,battery_power_issue
Awkward moment in the store when Apple Pay wouldn't allow me to pay. #thanksapple @115858,billing_refund,general_inquiry
"@AppleSupport Yesterday morning, it freezes then the screen either goes black or back to the home screen. Has turns itself off yesterday and today too 😩",ios_software_issue,device_hardware_issue
@AppleSupport Why do I️ need to do this at all? Can’t you guys release a patch to fix it?,ios_software_issue,billing_refund
@115858 can y’all fix this please,ios_software_issue,general_inquiry
"@AppleSupport haha, thanks, but its all good, i don't need a new update, i can't wait 3 more hours. :) will do it someday else. thanks anyways.",ios_software_issue,billing_refund
So apparently there’s some issue with @AppleSupport #HighSierra that makes your #mac easier to hack. I’m being told to avoid this update like the plague.,ios_software_issue,device_hardware_issue
@AppleSupport LIKE WHAT IS THIS https://t.co/Q3R8KtQyCU,ios_software_issue,general_inquiry
Hey @115858  when the hell are you fixing this glitch. I’m tired of seeing I️,ios_software_issue,general_inquiry
@115858 I’m gonna need you to figure out this bug with the letter I️,ios_software_issue,app_service_issue
@AppleSupport No it randomly started happening. It will freeze at random times and then I have to restart. The screen will continue playing but the keyboard and trackpad stop working. Power button still works,device_hardware_issue,app_store_purchase
"@AppleSupport @434036 Chat doesn’t work either.. spins and then says “Chat is unavailable at this time, try again later”",general_inquiry,icloud_issue
"@AppleSupport что это такое?? Почему это после каждой разблокировки? Стоит 11.2 бета, 6s. Издевательство,будь проклят день когда на 11 встал https://t.co/g38JeU6xDN",ios_software_issue,general_inquiry
"@AppleSupport Ok that worked. How about the sms bug? That causes messages to get stuck below the keyboard. And the fact I can’t attach photos from the photo to sms. Or that my camera constantly freezes up. Don’t know why but can’t see to connect to WiFi anywhere, even at home, my wife can.",connectivity_issue,ios_software_issue
Alguien sabe que pasa con @AppleSupport actualizar dos iphone y se quemaron! Y ahora actualizo MacBook y no arranca ??? @93688,device_hardware_issue,general_inquiry
"@115858 please help! My fathers iPhone 7plus is locked on the apple startup screen, he has done a hard reset, iTunes won’t recognize the phone when plugged in and we can’t get it to work.",ios_software_issue,general_inquiry
@AppleSupport I just upgraded to 11.0.3 and top layout is messed up. Suggestions to fix? Already turned on/off. Thx https://t.co/hvYhQJTnlW,ios_software_issue,icloud_issue
One more thing. There isn’t an option to show battery percentage. @115858  please fix the above issues.,battery_power_issue,general_inquiry
@AppleSupport bug report Apple Music not showing on lock screen. 11.0.3 6S+. Tried multiple outputs and hard reset. https://t.co/i7zO8EShFM,app_service_issue,ios_software_issue
@AppleSupport Several times,general_inquiry,ios_software_issue
IS ANYONE GONNA TALK ABOUT WHY “I️” KEEPS POPPING UP IN THE KEYBOARD. @115858 FIX THIS ITS DRIVING ME CRAZY,ios_software_issue,general_inquiry
"@AppleSupport It is IOS 11 and an iPhone 8, it seems to just be happening with 1 person",app_service_issue,ios_software_issue
@115858 y’all got me messed up fr. I AINT PAY MY HARD EARNED MONEY FOR MY PHONE TO BE CRASHING 🙄,ios_software_issue,general_inquiry
@AppleSupport i️ don’t have wifi.,connectivity_issue,general_inquiry
"@AppleSupport my ipad camera has had a black screen for a while, where are some places I could have it checked/fixed if anything wrong?",device_hardware_issue,general_inquiry
@AppleSupport @115858 wth is going on with this I️ thing??? Switching to android if y’all don’t fix this soon. We look like idiots out here.,ios_software_issue,general_inquiry
@AppleSupport And I'm currently on 10.3.3,ios_software_issue,app_store_purchase
"I️ will not fix my phone, @115858 you fix my damn phone. https://t.co/aRIl3VOsNi",ios_software_issue,general_inquiry
My hotspot has not worked since I updated my ipad and iphone to iOS 11 @AppleSupport @ATT @117735,connectivity_issue,ios_software_issue
