customer_tweet_id,customer_text,reply_text,intent
2299154,"@AppleSupport Hi. When using Scenes in Clips 2.0 on my iPhone X, the background doesn’t move as I move the phone and walk around. Reinstalling the app didn’t help. Any ideas?","@455458 Thanks for reaching out to us. We're excited you're playing around with Clips 2.0.  Let's start with a restart of the phone. After this is complete, open up the Clips 2.0 app and try using Scenes again. Send us a DM if you have the same result. https://t.co/GDrqU22YpT",general_inquiry
2271825,@AppleSupport podcast app started randomly playing on speakers while phone was iPhone was charging. Not first time this has happened. Help!,@660931 We want to help you get this issue resolved. Could you tell us which version of iOS you're running on this iPhone?,technical_issue
739807,Why does my iPhone keep saying searching and no service when I’ve paid my phone bill and have done everything on the website @AppleSupport,@296924 We'd like to help! Check out this article: https://t.co/5KootZbxj1,general_inquiry
2631613,"@AppleSupport OK great, now I've been hung up on twice trying to get access to my account and I'm an iOS developer trying to launch something.",@411392 We'd like to look into this with you. Please DM us details of the interaction and we'll continue working with you there. https://t.co/GDrqU22YpT,technical_issue
1773234,This iPhone bug whenever I️ type the letter i (as in abcdefgh-i-jk...) is driving me nuts! @115858 please fix this!,@532945 Here’s what you can do to work around the issue until it’s fixed in a future software update: https://t.co/xXaXeeSRt9,technical_issue
51672,@AppleSupport this new update is a mess my phone has a frozen notification on the screen and running very unstable. help please,@127604 We're here to get you back to enjoying the iPhone. Does the iPhone still respond to touch at all?,technical_issue
2007029,@115858 why does my phone keep fucking freezing?😡🙃,"@593490 We'd like to look into this together. Does this happen when taking any specific actions? Let us know more in DM, please. https://t.co/GDrqU22YpT",apple_id_issue
2473550,@115858 can you fix this already?????,"@707258 We want your keyboard working for you; we'll do all we can to help. To start, we released iOS 11.1.1 which is meant to address this issue. If you haven't already, let's update with these steps: https://t.co/ahjigcvFRG",technical_issue
1022578,"Hey @115858 you’re new update drains battery super fast, figure it out",@361971 We're here to help. Let's take this to DM so we can better assist you. https://t.co/GDrqU22YpT,technical_issue
942250,@AppleSupport iOS 11 - what a crappy mess! @115858 #ios11,@343369 Thanks for reaching out. We want you to enjoy your Apple device. Let us know what’s happening &amp; which device you're using.,device_issue
1674102,Hey @AppleSupport FIX THIS NONSENSE I️ AM TIRED OF SEEING I️,@509387 Here’s what you can do to work around the issue until it’s fixed in a future software update: https://t.co/xXaXeeSRt9,technical_issue
306228,@115858 @AppleSupport @2247 It did it again 😡,@189110 We'd like to help. Please DM us the device your're using and we'll get started. https://t.co/GDrqU22YpT,technical_issue
1973681,@AppleSupport one day last year my iMessage in my Mac stopped syncing with my phones contacts. It’s really lame still can’t fix it....,@401789 Thanks for reaching out to us. We are always happy to help. Send us a DM so we can look into this with you. https://t.co/GDrqU22YpT,technical_issue
2016680,Yo df is going on @115858 y’all about to piss me off wit these question marks,@233693 Thanks for reaching out. We have a workaround for this here: https://t.co/qODbOsp4wz DM us if you still need help. https://t.co/GDrqU22YpT,technical_issue
1710669,@518232 @115858 That bad boy show when you type “I️” I’m like tf? New update necessary.,@518231 Here’s what you can do to work around the issue until it’s fixed in a future software update: https://t.co/xXaXeeSRt9,technical_issue
2035826,@AppleSupport wtf I’m tired of buying a charger every two months. 😤,"@601885 What kind of device do you have, and what's going on with its charger? DM us, and we'll look into your options together. https://t.co/GDrqU22YpT",technical_issue
1673582,"Anyone else seeing this idiotic new autocorrect on their #ios device? What say you, @115858? https://t.co/RqMwuJg4K4",@509259 Here’s what you can do to work around the issue until it’s fixed in a future software update: https://t.co/xXaXeeSRt9,technical_issue
1174796,@AppleSupport Thank you for your immediate response. I'll contact you later if I still have troubles. On my way with another device now..,"@396324 Sounds good. We're here daily, 5am-8pm Pacific.",technical_issue
2065222,@AppleSupport Since the latest iTunes update I have been unable to access Apple Music. It won't progress past the loading screen. Windows 10 https://t.co/BYkWr91kuj,@141431 Thanks for reaching out. Let's get this figured out. Have you tried to close iTunes and restart your computer? Please DM us. https://t.co/GDrqU22YpT,technical_issue
1998007,@AppleSupport ios11.0.3 great but two issues. Can’t send photos via iMessage from photo app. Can’t move focus in email where I want. Help,@590777 We're here to help.  Meet us in DM and we can explore steps for both issues. https://t.co/GDrqU22YpT,technical_issue
2230676,Dear .@115858 your updates for #iOS11 is fucken trash. I didn't sign up for my iPhone to constantly freeze like a windows laptop. FIX IT NOW! https://t.co/qctKjtv6Zk,@650953 We want to help. Send us a DM and we'll go from there. https://t.co/GDrqU22YpT,technical_issue
1267709,why my problem is not resolved?? #applecare @AppleSupport @116333 !!!,@416824 We've received your DM. Please look for an answer there from us.,technical_issue
1978062,Hey @AppleSupport I’m very disappointed in your newest iOS 11. It has ruined my phone and nothing works normally anymore. I want ios10!,@585715 We’re happy to help with any complications you’re facing. Could you let us know more details via a DM? We’ll move from there. https://t.co/GDrqU22YpT,technical_issue
2119453,"@AppleSupport explain to me why tf my phone has been lagging, freezing and shutting off on me ever since y’all dropped the new iPhonex",@624593 Let's work together. Did this happen after updating? Are you experiencing this with specific apps? Please DM us. https://t.co/GDrqU22YpT,technical_issue
546646,@AppleSupport why does my phone screen keep going black and showing a loading icon??? literally happened as i was finishing typing this tweet 😤😤😤,@247119 We're here to help you. This article has steps to address the issue you mentioned: https://t.co/osZOKKTalm Before updating we recommend creating a backup of your device. If you continue to have issues DM us and we'll take a closer look there. https://t.co/GDrqU22YpT,technical_issue
2404853,@115858 the new update wiped all my music away 😫😫😫 @115948,"@691716 Your music is important to you; we'll do all we can to help. To start, are you an Apple Music member?",technical_issue
807387,Hey @115858! My favorite thing about iOS 11 is when it turns my phone into a unresponsive piece of shit every 10 minutes. ☺️,@312391 We’d like to offer our support. Which device are you using? Let us know in DM and we’ll go from there. https://t.co/GDrqU22YpT,technical_issue
939555,@AppleSupport A 30 min call and my battery went from 100% to 65%. Please acknowledge this issue. This is a throwback to 1989 car phones.,@342718 We'd like to look into this with you. What is your current iOS version? What kind of iPhone are you using?,technical_issue
1332777,@AppleSupport No I haven’t received any error message and the App Store,"@430913 Is this happening on multiple Wi-Fi connections? Also, what happens when you try to download an app?",technical_issue
38636,@AppleSupport it’s on 11.1 it has just popped up when I went into general for an software update I 11.1.2,"@124421 Great.  Go ahead and run the update.  After it is complete, try restoring your backup again.",technical_issue
1688577,Honestly @115858 wtf is going on w these DUMBASS QUESTION SQUARES BULLSHIT AUTOCORRECT  SHIT ???????,@512741 Here’s a work around for the issue until it’s fixed in a future software update: https://t.co/xXaXeeSRt9,general_inquiry
1748687,@AppleSupport 2/2 and it has my email address there and I am asked for my password which I put in and that is when I get the error message.,"@373660 Thanks for the info. Do you have any third-party security software installed? If so, disable it and try logging in again.",technical_issue
2943373,@AppleSupport this msg has randomly appeared on my iPad - is it some kind of bug? https://t.co/uiFcowgENT,@813147 We’re here to help. Please DM us the software version you’re using so we can better assist you. https://t.co/GDrqU22YpT,general_inquiry
