customer_tweet_id,customer_text,generated_reply,top_evidence_reply,groundedness,helpfulness,hallucination,reviewer_notes
2282184,Alright @AppleSupport @115858 are y’all gon fix this shit or no?,"Thanks for reaching out. Based on similar support cases, the recommended guidance is:

@646756 An update has been released to assist with this issue. If you haven’t yet, please back up your device and update it to iOS 11.1.1. For more info, check out: https://t.co/4f8hwT5to6 DM us with any questions. https://t.co/GDrqU22YpT

If this does not resolve the issue, the case should be reviewed by a support agent.","@646756 An update has been released to assist with this issue. If you haven’t yet, please back up your device and update it to iOS 11.1.1. For more info, check out: https://t.co/4f8hwT5to6 DM us with any questions. https://t.co/GDrqU22YpT",5,4,5,"Author review on the same 1-5 rubric: groundedness checks support from evidence, helpfulness checks issue fit, and hallucination checks unsupported claims."
1410770,"@AppleSupport I connected it after restarting my iPhone twice, but it did not get better. My lightning cable is new one.","Thanks for reaching out. Based on similar support cases, the recommended guidance is:

@520092 Got it. Does your iPhone battery deplete while it is connected to the charger like this?

If this does not resolve the issue, the case should be reviewed by a support agent.",@520092 Got it. Does your iPhone battery deplete while it is connected to the charger like this?,5,3,5,"Author review on the same 1-5 rubric: groundedness checks support from evidence, helpfulness checks issue fit, and hallucination checks unsupported claims."
2296308,@115948 @115858 @AppleSupport,"Thanks for reaching out. Based on similar support cases, the recommended guidance is:

@535810 Thanks for the video. We'd like some details to help. Send us a DM using the link below and we'll continue. https://t.co/GDrqU22YpT

If this does not resolve the issue, the case should be reviewed by a support agent.",@535810 Thanks for the video. We'd like some details to help. Send us a DM using the link below and we'll continue. https://t.co/GDrqU22YpT,5,3,5,"Author review on the same 1-5 rubric: groundedness checks support from evidence, helpfulness checks issue fit, and hallucination checks unsupported claims."
1552181,I updated my phone and I️ still get that box instead of the letter “I️” What the fuck is up @AppleSupport ???,"Thanks for reaching out. Based on similar support cases, the recommended guidance is:

@628687 Here’s what you can do to work around the issue until it’s fixed in a future software update: https://t.co/xXaXeeSRt9

If this does not resolve the issue, the case should be reviewed by a support agent.",@628687 Here’s what you can do to work around the issue until it’s fixed in a future software update: https://t.co/xXaXeeSRt9,5,3,5,"Author review on the same 1-5 rubric: groundedness checks support from evidence, helpfulness checks issue fit, and hallucination checks unsupported claims."
977654,@AppleSupport can you advise if this is fake? https://t.co/HURnabdVCf,"Thanks for reaching out. Based on similar support cases, the recommended guidance is:

@771861 That doesn't appear to be from us. Here's help on how to avoid phishing emails: https://t.co/V2QRdtocGo

If this does not resolve the issue, the case should be reviewed by a support agent.",@771861 That doesn't appear to be from us. Here's help on how to avoid phishing emails: https://t.co/V2QRdtocGo,5,4,5,"Author review on the same 1-5 rubric: groundedness checks support from evidence, helpfulness checks issue fit, and hallucination checks unsupported claims."
755743,"@AppleSupport The steps show me how to delete the profile, which I already did. It’s still showing an update for beta","Thanks for reaching out. Based on similar support cases, the recommended guidance is:

@334936 Which device are you using? How often do you have to charge?

If this does not resolve the issue, the case should be reviewed by a support agent.",@334936 Which device are you using? How often do you have to charge?,5,3,5,"Author review on the same 1-5 rubric: groundedness checks support from evidence, helpfulness checks issue fit, and hallucination checks unsupported claims."
1584602,@AppleSupport Why do I️ need to do this at all? Can’t you guys release a patch to fix it?,"Thanks for reaching out. Based on similar support cases, the recommended guidance is:

@523749 Here’s what you can do to work around the issue until it’s fixed in a future software update: https://t.co/xXaXeeSRt9

If this does not resolve the issue, the case should be reviewed by a support agent.",@523749 Here’s what you can do to work around the issue until it’s fixed in a future software update: https://t.co/xXaXeeSRt9,5,4,5,"Author review on the same 1-5 rubric: groundedness checks support from evidence, helpfulness checks issue fit, and hallucination checks unsupported claims."
486291,@AppleSupport 11.1.2 and the screen flashes black and turns off music or whatever I have going on then the lock screen comes on https://t.co/9uTLFgN2HC,"Thanks for reaching out. Based on similar support cases, the recommended guidance is:

@249115 We're glad you got it resolved!

If this does not resolve the issue, the case should be reviewed by a support agent.",@249115 We're glad you got it resolved!,4,2,4,"Author review on the same 1-5 rubric: groundedness checks support from evidence, helpfulness checks issue fit, and hallucination checks unsupported claims."
2700945,"@AppleSupport terrible battery life cos of your ios 11 &amp; following updates!u still haven’t rectified the common complaint, moving to Android","Thanks for reaching out. Based on similar support cases, the recommended guidance is:

@167319 Let's take a closer look together. Please DM us and we can go from there. https://t.co/GDrqU22YpT

If this does not resolve the issue, the case should be reviewed by a support agent.",@167319 Let's take a closer look together. Please DM us and we can go from there. https://t.co/GDrqU22YpT,4,2,4,"Author review on the same 1-5 rubric: groundedness checks support from evidence, helpfulness checks issue fit, and hallucination checks unsupported claims."
2964189,@AppleSupport Several times,"Thanks for reaching out. Based on similar support cases, the recommended guidance is:

@558352 Have you noticed a similar issue with any other devices?

If this does not resolve the issue, the case should be reviewed by a support agent.",@558352 Have you noticed a similar issue with any other devices?,5,4,5,"Author review on the same 1-5 rubric: groundedness checks support from evidence, helpfulness checks issue fit, and hallucination checks unsupported claims."
